Name,Id,TotalNumRide,TotalNumGetOff,NumRideByCard,NumGetOffByCard,NumRideByCash,AveNumGetOff
상동역4번출구.상동지하차도,55048,1527,6204,1503,6204,24,249
상동역5번출구.상동지하차도,55050,15822,3027,15648,3027,174,608
상동역8번출구세이브존,55056,12490,4881,12315,4881,175,560
상사마을,25027,86,280,81,280,5,11
상수도사업본부(스마트타운),37375,5910,8823,5747,8823,163,475
상수도사업본부(스마트타운),37380,4887,12250,4761,12250,126,552
상야동,41436,1601,1553,1569,1553,32,101
상야동,41437,1434,1861,1427,1861,7,106
상용리마을회관,90038,0,84,0,84,0,2
상용리마을회관,90039,109,1,103,1,6,3
상용진료소앞,90004,28,94,26,94,2,3
상용진료소앞,90005,107,12,102,12,5,3
상인천중학교,39537,442,114,435,114,7,17
상인천초등학교,39340,1065,590,1039,590,26,53
상인천초등학교,39345,423,1235,419,1235,4,53
상정고,40069,14705,4315,14422,4315,283,613
상정고,40070,5730,13366,5660,13366,70,616
상정중학교,40059,5683,6264,5496,6264,187,385
상주(상리),90331,32,17,32,17,0,1
상주민지원센터.삼광교회,55029,1184,3925,1144,3925,40,164
상주민지원센터.삼광교회,55031,5309,439,5221,439,88,185
상촌,43152,41,13,40,13,1,1
상촌,43347,42,63,38,63,4,3
새꾸지마을,90133,36,31,36,31,0,2
새꾸지마을,90134,24,29,23,29,1,1
새마을,43471,6,6,6,6,0,0
새마을,43702,14,3,13,3,1,0
새마을금고,36053,2706,1136,2647,1136,59,123
새마을금고,40125,1134,1443,1099,1443,35,83
새마을금고,40126,2004,218,1904,218,100,71
새마을금고,40131,1144,3914,1114,3914,30,163
새마을금고,40746,59,886,48,886,11,30
새말사거리,41009,5355,2528,5270,2528,85,254
새말사거리,41010,169,3108,142,3108,27,105
새말사거리,41012,1475,4026,1428,4026,47,177
새말사거리,41013,4084,2860,4027,2860,57,224
새말사거리,41638,951,1906,931,1906,20,92
새봄초등학교,38679,2239,4469,2210,4469,29,216
새봄초등학교·송도파크레인(후문),38678,5563,2095,5494,2095,69,247
새사미아파트,41582,532,435,526,435,6,31
새소망교회,40850,2087,13,1998,13,89,67
